,title,price,link_item,discount,sales,brand,category,revenue
70,Điện thoại Nokia 105 4G - Hàng chính hãng,690000,https://tiki.vn/dien-thoai-nokia-105-4g-hang-chinh-hang-p125753291.html?spid=125753292,-3%,18.0,Nokia,dienthoaiphothong,12420000.0
71,Điện thoại Nokia 215 4G - Hàng chính hãng,930000,https://tiki.vn/dien-thoai-nokia-215-4g-hang-chinh-hang-p125753599.html?spid=125753603,-10%,20.0,Nokia,dienthoaiphothong,18600000.0
72,Điện Thoại Nokia 8210 4G - Hàng Chính Hãng,1539000,https://tiki.vn/dien-thoai-nokia-8210-4g-hang-chinh-hang-p212924392.html?spid=212924394,-1%,18.0,Nokia,dienthoaiphothong,27702000.0
73,Điện thoại Nokia 8210 4G - Hàng chính hãng - pin lâu - Bàn phím nút giá rẻ chỉ có tại Long Tâm Store,1431000,https://tiki.vn/dien-thoai-nokia-8210-4g-hang-chinh-hang-pin-lau-ban-phim-nut-gia-re-chi-co-tai-long-tam-store-p252073151.html?spid=253069735,-3%,3.0,Nokia,dienthoaiphothong,4293000.0
74,Điện thoại Nokia 105 4G - chính hãng - Đen,690000,https://tiki.vn/dien-thoai-nokia-105-4g-hang-chinh-hang-den-p171685825.html?spid=171685826,-3%,9.0,Nokia,dienthoaiphothong,6210000.0
75,Nokia 5710 XpressAudio | Hàng Chính Hãng,1504899,https://tiki.vn/nokia-5710-xpressaudio-gia-re-chinh-hang-gia-tot-p252072952.html?spid=252072956,-5%,2.0,Nokia,dienthoaiphothong,3009798.0
76,Điện thoại Nokia 110 4G - Hàng chính hãng,740000,https://tiki.vn/dien-thoai-nokia-110-4g-hang-chinh-hang-p125753416.html?spid=125753418,-23%,21.0,Nokia,dienthoaiphothong,15540000.0
77,Điện Thoại Nokia 110 4G Pro - Hàng Chính Hãng,689000,https://tiki.vn/dien-thoai-nokia-110-4g-pro-hang-chinh-hang-p271234313.html?spid=271234322,-5%,1.0,Nokia,dienthoaiphothong,689000.0
78,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,659000,https://tiki.vn/dien-thoai-nokia-105-4g-pro-hang-chinh-hang-p271234577.html?spid=271234579,-13%,,Nokia,dienthoaiphothong,
79,điện thoại Nokia 110 4G Pro -Kiểu dáng bền bỉ - hiển thị rõ nét- Hàng chính hãng,711550,https://tiki.vn/dien-thoai-nokia-110-4g-pro-kieu-dang-ben-bi-hien-thi-ro-net-hang-chinh-hang-p271389593.html?spid=271389595,-7%,,Nokia,dienthoaiphothong,
80,Điện Thoại Nokia 110 4G - Hàng Chính Hãng,689000,https://tiki.vn/dien-thoai-nokia-110-4g-hang-chinh-hang-p191089547.html?spid=232582538,-5%,5.0,Nokia,dienthoaiphothong,3445000.0
81,Điện thoại di động Nokia 105 4G Pro - Hàng chính hãng,664050,https://tiki.vn/dien-thoai-di-dong-nokia-105-4g-pro-chinh-hang-gia-re-p271368354.html?spid=271368356,-10%,,Nokia,dienthoaiphothong,
82,Điện thoại Nokia 105 4G - Hàng chính hãng,669000,https://tiki.vn/dien-thoai-nokia-105-4g-hang-chinh-hang-p168526284.html?spid=168526304,,20.0,Nokia,dienthoaiphothong,13380000.0
83,Điện thoại Nokia 110 4G Pro - Hàng chính hãng,710000,https://tiki.vn/dien-thoai-nokia-110-4g-pro-hang-chinh-hang-p270504848.html?spid=270504852,,,Nokia,dienthoaiphothong,
84,Điện Thoại Nokia 110 4G - Hàng Chính Hãng,809000,https://tiki.vn/dien-thoai-nokia-110-4g-hang-chinh-hang-p146365404.html?spid=146365408,,58.0,Nokia,dienthoaiphothong,46922000.0
85,Điện thoại Nokia 105 4G Pro - Hàng chính hãng,680000,https://tiki.vn/dien-thoai-nokia-105-4g-pro-hang-chinh-hang-p270512785.html?spid=270512789,,2.0,Nokia,dienthoaiphothong,1360000.0
86,Điện thoại di động Nokia 105 4G - Hàng chính hãng,750500,https://tiki.vn/dien-thoai-di-dong-nokia-105-4g-hang-chinh-hang-p253376519.html?spid=253376521,,1.0,Nokia,dienthoaiphothong,750500.0
87,Điện thoại Nokia N110 4G - Hàng chính hãng,809100,https://tiki.vn/dien-thoai-nokia-110-4g-chinh-hang-gia-re-p252072977.html?spid=252072984,,,Nokia,dienthoaiphothong,
88,Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,309000,https://tiki.vn/dien-thoai-di-dong-vtel-e10-4g-hang-chinh-hang-p197907038.html?spid=197907042,-23%,138.0,Vtel,dienthoaiphothong,42642000.0
89,Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,301000,https://tiki.vn/dien-thoai-di-dong-vtel-e10-4g-hang-chinh-hang-p197905982.html?spid=197905988,-25%,98.0,Vtel,dienthoaiphothong,29498000.0
